Bought,XOM,[86.],['2021-04-28 00:00:00+00:00'],[58.11]
Sold,XOM,[86.],['2021-04-29 00:00:00+00:00'],[58.94]
Bought,XOM,[86.],['2021-04-29 00:00:00+00:00'],[58.94]
Sold,XOM,[86.],['2021-04-30 00:00:00+00:00'],[57.24]
Bought,XOM,[86.],['2021-04-30 00:00:00+00:00'],[57.24]
Sold,XOM,[86.],['2021-05-03 00:00:00+00:00'],[58.82]
Bought,XOM,[86.],['2021-05-03 00:00:00+00:00'],[58.82]
Sold,XOM,[86.],['2021-05-04 00:00:00+00:00'],[59.19]
Bought,XOM,[86.],['2021-05-04 00:00:00+00:00'],[59.19]
Sold,XOM,[86.],['2021-05-05 00:00:00+00:00'],[60.97]
Bought,XOM,[86.],['2021-05-05 00:00:00+00:00'],[60.97]
Sold,XOM,[86.],['2021-05-06 00:00:00+00:00'],[61.55]
Bought,XOM,[86.],['2021-05-06 00:00:00+00:00'],[61.55]
Sold,XOM,[86.],['2021-05-07 00:00:00+00:00'],[62.43]
Bought,XOM,[86.],['2021-05-07 00:00:00+00:00'],[62.43]
Sold,XOM,[86.],['2021-05-10 00:00:00+00:00'],[62.58]
Bought,XOM,[86.],['2021-05-10 00:00:00+00:00'],[62.58]
Sold,XOM,[86.],['2021-05-11 00:00:00+00:00'],[60.59]
Bought,XOM,[86.],['2021-05-11 00:00:00+00:00'],[60.59]
Sold,XOM,[86.],['2021-05-12 00:00:00+00:00'],[60.04]
Bought,XOM,[86.],['2021-05-12 00:00:00+00:00'],[60.04]
Sold,XOM,[86.],['2021-05-13 00:00:00+00:00'],[59.3]
Bought,XOM,[86.],['2021-05-13 00:00:00+00:00'],[59.3]
Sold,XOM,[86.],['2021-05-14 00:00:00+00:00'],[60.77]
Bought,XOM,[86.],['2021-05-14 00:00:00+00:00'],[60.77]
Sold,XOM,[86.],['2021-05-17 00:00:00+00:00'],[62.19]
Bought,XOM,[86.],['2021-05-17 00:00:00+00:00'],[62.19]
Sold,XOM,[86.],['2021-05-18 00:00:00+00:00'],[60.43]
Bought,XOM,[86.],['2021-05-18 00:00:00+00:00'],[60.43]
Sold,XOM,[86.],['2021-05-19 00:00:00+00:00'],[58.98]
Bought,XOM,[86.],['2021-05-19 00:00:00+00:00'],[58.98]
Sold,XOM,[86.],['2021-05-20 00:00:00+00:00'],[58.84]
Bought,XOM,[86.],['2021-05-20 00:00:00+00:00'],[58.84]
Sold,XOM,[86.],['2021-05-21 00:00:00+00:00'],[58.92]
Bought,XOM,[86.],['2021-05-21 00:00:00+00:00'],[58.92]
Sold,XOM,[86.],['2021-05-24 00:00:00+00:00'],[59.61]
Bought,XOM,[86.],['2021-05-24 00:00:00+00:00'],[59.61]
Sold,XOM,[86.],['2021-05-25 00:00:00+00:00'],[58.26]
Bought,XOM,[86.],['2021-05-25 00:00:00+00:00'],[58.26]
Sold,XOM,[86.],['2021-05-26 00:00:00+00:00'],[58.94]
Bought,XOM,[86.],['2021-05-26 00:00:00+00:00'],[58.94]
Sold,XOM,[86.],['2021-05-27 00:00:00+00:00'],[58.56]
Bought,XOM,[86.],['2021-05-27 00:00:00+00:00'],[58.56]
Sold,XOM,[86.],['2021-05-28 00:00:00+00:00'],[58.37]
Bought,XOM,[86.],['2021-05-28 00:00:00+00:00'],[58.37]
Sold,XOM,[86.],['2021-06-01 00:00:00+00:00'],[60.46]
Bought,XOM,[86.],['2021-06-01 00:00:00+00:00'],[60.46]
Sold,XOM,[86.],['2021-06-02 00:00:00+00:00'],[60.94]
Bought,XOM,[86.],['2021-06-02 00:00:00+00:00'],[60.94]
Sold,XOM,[86.],['2021-06-03 00:00:00+00:00'],[61.18]
Bought,XOM,[86.],['2021-06-03 00:00:00+00:00'],[61.18]
Sold,XOM,[86.],['2021-06-04 00:00:00+00:00'],[61.45]
Bought,XOM,[86.],['2021-06-04 00:00:00+00:00'],[61.45]
Sold,XOM,[86.],['2021-06-07 00:00:00+00:00'],[61.05]
Bought,XOM,[86.],['2021-06-07 00:00:00+00:00'],[61.05]
Sold,XOM,[86.],['2021-06-08 00:00:00+00:00'],[62.13]
